번호,name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count,emergency_bell
3117,검표소 화장실,서울특별시 용산구 후암동 산1-2,없음,없음,24시간,37.5514863,126.9850797,남여,0,없음
3490,게네고덕천(공원관리소) 공중화장실,서울특별시 강동구 상일동 479,있음,있음,24시간,37.5551893,127.1729297,남여,0,없음
3512,게네수변공원(SK주유소뒤) 공중화장실,서울특별시 강동구 강일동 703,없음,있음,24시간,37.5603958,127.172072,남여,0,남자화장실+여자화장실
1261,게이트볼장,서을특별시 광진구 용마도시자연공원,없음,없음,00:00~00:00,37.5623708,127.0962081,없음,0,남자화장실+여자화장실
677,견인보관소,서울특별시 금천구 가산동 614-34,없음,없음,24시간,37.48330365,126.8760816,없음,0,남자화장실+여자화장실
1880,견인보관소,서울특별시 강남구 역삼로107길 20-28,없음,없음,24시간,37.50438,127.0678,없음,0,없음
2450,견인보관소화장실,서울특별시 송파구 장지동 770-1,없음,없음,영업시간 내,37.4771891,127.1184019,없음,0,없음
3240,겸재정선미술관 화장실,서울특별시 강서구 마곡동 9-4,있음,있음,10:00~18:00,37.57222297,126.838412,남여,0,장애인화장실+여자화장실
3932,경기버스라운지,"서울특별시 관악구 남현동 1061-21 3층,4층",없음,없음,10:00~22:00,37.4748275,126.9814285,없음,0,없음
1685,경남1차상가,서울특별시 언주로 110,없음,없음,정시,37.4845146,127.054174,없음,0,없음
1686,경남2차상가,서울특별시 언주로110,없음,없음,06:00~23:00,37.4845146,127.054174,없음,0,없음
2071,경남빌딩,서울특별시 동대문구 장한로 52,없음,없음,07:00~20:00,37.5655359,127.0677206,없음,0,없음
1755,경남상가,서울특별시 언주로85길 13,없음,없음,상시,37.5005712,127.0423112,없음,0,없음
4481,경동빌딩(스타이발관),서울특별시 종로구 종로17길45,없음,없음,09:00~18:00,37.5722367,126.988139,없음,0,없음
2064,경동시장 성동상가,서울특별시 동대문구 고산자로40길10,없음,없음,08:30~20:00,37.5806858,127.0391766,없음,0,없음
2100,경동주유소 공중화장실,서울특별시 동대문구 이문로 191,없음,없음,24시간,37.603596,127.0617855,없음,0,여자화장실
4507,경복궁역(3),서울특별시 종로구 적선동 81-1 3호선 경복궁역,없음,없음,05~24,37.5757599,126.9732064,없음,0,여자화장실
610,경복에너지,서울특별시 금천구 시흥동 860-36,없음,없음,05:00~23:00,37.46050327,126.9044531,없음,0,없음
3385,경서에너지 공항로충전소 개방화장실,서울특별시 강서구 등촌동 534-13,없음,없음,00:00~24:00,37.55333872,126.8586317,없음,0,없음
2090,경영빌딩,서울특별시 동대문구 왕산로 6,없음,없음,09:00~20:00,37.5758075,127.0244917,없음,0,없음
52,경우회관 개방화장실,서울특별시 은평구 응암로 357,없음,없음,24시간,37.6031337,126.9222984,없음,0,여자화장실+남자화장실
