 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
51, 공중화장실 ,2, 대림(2) , 서울특별시 구로구 구로동 1204 대림역(2호선) , 서울특별시 구로구 구로동 1 ,있음,있음," 지상2층, 대합실 중앙(게이트내) ",37.481113,126.952634,있음,있음,있음,남여
52, 공중화장실 ,2, 신도림 , 서울특별시 구로구 신도림동 460-26 2호선 신도림역 , 서울특별시 구로구 신도림동  ,있음,있음," 지하1층 대합실 (게이트내, 1번출구방향) ",37.482518,126.941481,있음,있음,있음,남여
53, 공중화장실 ,2, 신도림 , 서울특별시 구로구 신도림동 460-26 2호선 신도림역 , 서울특별시 구로구 신도림동  ,있음,있음," 지하1층 대합실(게이트외,1번출구방향) ",37.484178,126.929789,있음,있음,있음,남여
54, 공중화장실 ,2, 문래 , 서울특별시 영등포구 문래동3가 68-1문래역 , 서울특별시 영등포구 문래동3 ,있음,있음," 지하1층 대합실(게이트외, 2,3번출구방향) ",37.48751,126.912991,있음,있음,있음,남여
55, 공중화장실 ,2, 영등포구청(2) , 서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선) , 서울특별시 영등포구 당산동3 ,있음,있음," 지하1층 대합실(게이트내, 환승통로입구) ",37.485127,126.901529,있음,없음,있음,여자
56, 공중화장실 ,2, 당산 , 서울특별시 영등포구 당산동 6가 323-1 당산역 , 서울특별시 영등포구 당산동  ,있음,있음," 지상2층, 대합실 중앙(게이트내) ",37.53478432,126.9026118,있음,있음,있음,남여
57, 공중화장실 ,2, 합정(2) , 서울특별시 마포구 서교동 393 합정역(2호선) , 서울특별시 마포구 서교동 3 ,있음,있음," 지하1층대합실, 1,2번출구 ",37.54991316,126.9144541,있음,있음,있음,남여
58, 공중화장실 ,2, 홍대입구 , 서울특별시 마포구 동교동 165 홍대입구역 , 서울특별시 마포구 동교동 1 ,있음,있음," 지하1층대합실, 2번출구 옆  ",37.514401,126.882685,있음,있음,있음,남여
59, 공중화장실 ,2, 신촌 , 서울특별시 마포구 노고산동 31-11 신촌역 , 서울특별시 마포구 노고산동  ,있음,있음," 지하1층대합실, 5번출구 옆  ",37.512518,126.865711,있음,있음,있음,남여
60, 공중화장실 ,2, 이대 , 서울특별시 마포구 염리동 8-85 이대역 , 서울특별시 마포구 염리동 8 ,있음,있음, 지하1층 대합실 5번출구 옆 ,37.518294,126.853619,있음,있음,있음,남여
61, 공중화장실 ,2, 아현 , 서울특별시 마포구 아현동 354-23 아현역 , 서울특별시 마포구 아현동 3 ,있음,있음, 지하1층 대합실 이대역방면 끝단 ,37.517887,126.894751,있음,없음,있음,여자
62, 공중화장실 ,2, 충정로(2) , 서울특별시 서대문구 충정로3가 319-1 충정로역(2호선) , 서울특별시 서대문구 충정로3 ,있음,있음, 지하2층 아현방면 끝단 ,37.525656,126.896614,있음,있음,있음,남여
63, 공중화장실 ,2, 신설동(2) , 서울특별시 동대문구 신설동 76-5 신설동역(2호선) , 서울특별시 동대문구 신설동  ,있음,있음, 대합실(지하1층) 역무실 옆 ,37.534931,126.90273,있음,있음,있음,남여
64, 공중화장실 ,2, 용두 , 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,있음,있음, (내선대합실)5번출구 입구 ,37.57406213,127.0382757,있음,있음,있음,남여
65, 공중화장실 ,2, 용두 , 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,있음,있음," (외선대합실)1,2번 출구 입구 ",37.57406213,127.0382757,있음,있음,있음,남여
66, 공중화장실 ,2, 용두 , 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,있음,있음, (내선승강장)3-3 승강장 앞 ,37.57406213,127.0382757,있음,있음,있음,남여
67, 공중화장실 ,2, 용두 , 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,있음,있음, (외선승강장)2-2 승강장 앞 ,37.57406213,127.0382757,있음,있음,있음,남여
68, 공중화장실 ,2, 신답 , 서울특별시 성동구 용답동 129-2 신답역 , 서울특별시 성동구 용답동 1 ,있음,있음, 1층 대합실 ,37.55589,126.955661,있음,없음,없음,없음
69, 공중화장실 ,2, 용답 , 서울특별시 성동구 용답동 127 용답역 , 서울특별시 성동구 용답동 1 ,있음,있음, 대합실 ,37.559493,126.963818,있음,없음,있음,여자
70, 공중화장실 ,2, 도림천 , 서울특별시 구로구 신도림동 323-16 도림천역 , 서울특별시 구로구 신도림동  ,있음,있음," 지상1층, 역무실 옆(게이트외) ",37.637537,126.918588,있음,있음,있음,남여
71, 공중화장실 ,2, 양천구청 , 서울특별시 양천구 신정동 276-7 양천구청역 , 서울특별시 양천구 신정동 2 ,있음,있음," 지하1층, 대합실(게이트내, 신청자량사업소출구 옆) ",37.618888,126.920832,있음,있음,있음,남여
72, 공중화장실 ,2, 신정네거리 , 서울특별시 양천구 신정동 1231 신정네거리역 , 서울특별시 양천구 신정동 1 ,있음,있음," 지하1층 대합실(게이트외, 2번, 3번 출구방향) ",37.610483,126.929288,있음,있음,있음,남여
73, 공중화장실 ,3, 구파발 , 서울특별시 은평구 진관동 67-26 3호선 구파발역 , 서울특별시 은평구 진관동 6 ,있음,있음, 지하1층 대합실 가 게이트 외부 ,37.600702,126.936005,있음,있음,있음,남여
74, 공중화장실 ,3, 연신내(3) , 서울특별시 은평구 갈현동 397 연신내역(3호선) , 서울특별시 은평구 갈현동 3 ,있음,있음, 지하 1층 대합실 라 게이트 내부 ,37.588672,126.944227,있음,있음,있음,남여
75, 공중화장실 ,3, 불광(3) , 서울특별시 은평구 대조동 14-1 불광역(3호선) , 서울특별시 은평구 대조동 1 ,있음,있음, 지하1층 대합실 나 게이트 외부 ,37.582361,126.950438,있음,있음,있음,남여
76, 공중화장실 ,3, 녹번 , 서울특별시 은평구 녹번동 55 지하철3호선 녹번역 , 서울특별시 은평구 녹번동 5 ,있음,있음, 지하1층 대합실 게이트 외부 ,37.574301,126.955918,있음,있음,있음,남여
77, 공중화장실 ,3, 홍제 , 서울특별시 서대문구 홍제동 161-1 홍제역 , 서울특별시 서대문구 홍제동  ,있음,있음, 지하2층 대합실 다게이트 앞 ,37.57582,126.973058,있음,있음,있음,남여
78, 공중화장실 ,3, 홍제 , 서울특별시 서대문구 홍제동 161-1 홍제역 , 서울특별시 서대문구 홍제동  ,있음,있음, 지하1층 대합실 상가(다이소) 옆 ,37.57582,126.973058,있음,없음,없음,없음
79, 공중화장실 ,3, 무악재 , 서울특별시 서대문구 홍제동 26-1 무악재역 , 서울특별시 서대문구 홍제동  ,있음,있음, 지하2층 대합실 가게이트 내부 ,37.576696,126.985804,있음,없음,있음,여자
80, 공중화장실 ,3, 독립문 , 서울특별시 서대문구 현저동 101 독립문역 , 서울특별시 서대문구 현저동  ,있음,있음, 지하1층 대합실 나게이트 내부 ,37.57446628,126.9579137,있음,있음,있음,남여
81, 공중화장실 ,3, 경복궁 , 서울특별시 종로구 적선동 81-1 3호선 경복궁역 , 서울특별시 종로구 적선동 8 ,있음,있음, 지하2층 대합실 가게이트 내부 ,37.571196,126.991959,있음,있음,있음,남여
82, 공중화장실 ,3, 안국 , 서울특별시 종로구 안국동 155-2 3호선 안국역 , 서울특별시 종로구 안국동 1 ,있음,있음, 지하3층 대합실 A계단 방면 ,37.566412,126.994185,있음,있음,있음,남여
83, 공중화장실 ,3, 종로3가(3) , 서울특별시 종로구 묘동 59 종로3가역(3호선) , 서울특별시 종로구 묘동 59 ,있음,있음, 지하3층 ,37.57156329,126.9918758,있음,있음,있음,남여
